"source","target","year","title","type"
"Liszt*", "Enesco* – Sinfonietta De Vienne*","1956", "Rhapsodie Hongroise N° 2 En Ut Dièse Mineur / Danses Slaves N° 1 En ut Majeur, Op. 46 Et N° 8 En Sol Mineur, Op. 46 / Rhapsodie Roumaine N° 1 En La Majeur, Op. 11","release"
"Liszt*", "Ernst Graf","1956", "Rhapsodie Hongroise N° 2 En Ut Dièse Mineur / Danses Slaves N° 1 En ut Majeur, Op. 46 Et N° 8 En Sol Mineur, Op. 46 / Rhapsodie Roumaine N° 1 En La Majeur, Op. 11","release"
"Dvorak*", "Enesco* – Sinfonietta De Vienne*","1956", "Rhapsodie Hongroise N° 2 En Ut Dièse Mineur / Danses Slaves N° 1 En ut Majeur, Op. 46 Et N° 8 En Sol Mineur, Op. 46 / Rhapsodie Roumaine N° 1 En La Majeur, Op. 11","release"
"Dvorak*", "Ernst Graf","1956", "Rhapsodie Hongroise N° 2 En Ut Dièse Mineur / Danses Slaves N° 1 En ut Majeur, Op. 46 Et N° 8 En Sol Mineur, Op. 46 / Rhapsodie Roumaine N° 1 En La Majeur, Op. 11","release"
"Enesco* – Sinfonietta De Vienne*", "Ernst Graf","1956", "Rhapsodie Hongroise N° 2 En Ut Dièse Mineur / Danses Slaves N° 1 En ut Majeur, Op. 46 Et N° 8 En Sol Mineur, Op. 46 / Rhapsodie Roumaine N° 1 En La Majeur, Op. 11","release"
"Liszt*", "Rudy Van Gelder","1956", "Rhapsodie Hongroise N° 2 En Ut Dièse Mineur / Danses Slaves N° 1 En ut Majeur, Op. 46 Et N° 8 En Sol Mineur, Op. 46 / Rhapsodie Roumaine N° 1 En La Majeur, Op. 11","release"
"Dvorak*", "Rudy Van Gelder","1956", "Rhapsodie Hongroise N° 2 En Ut Dièse Mineur / Danses Slaves N° 1 En ut Majeur, Op. 46 Et N° 8 En Sol Mineur, Op. 46 / Rhapsodie Roumaine N° 1 En La Majeur, Op. 11","release"
"Enesco* – Sinfonietta De Vienne*", "Rudy Van Gelder","1956", "Rhapsodie Hongroise N° 2 En Ut Dièse Mineur / Danses Slaves N° 1 En ut Majeur, Op. 46 Et N° 8 En Sol Mineur, Op. 46 / Rhapsodie Roumaine N° 1 En La Majeur, Op. 11","release"
"Ernst Graf", "Rudy Van Gelder","1956", "Rhapsodie Hongroise N° 2 En Ut Dièse Mineur / Danses Slaves N° 1 En ut Majeur, Op. 46 Et N° 8 En Sol Mineur, Op. 46 / Rhapsodie Roumaine N° 1 En La Majeur, Op. 11","release"
"Cal Tjader", "Don Elliott","1956", "Vib-Rations","master"
"Cal Tjader", "Rudy Van Gelder","1956", "Vib-Rations","master"
"Don Elliott", "Rudy Van Gelder","1956", "Vib-Rations","master"
"Schumann*", "Schubert*","1956", "Cello Concerto In A Minor Op. 129 / Cello Concerto In A Minor","master"
"Schumann*", "Gaspar Cassado*","1956", "Cello Concerto In A Minor Op. 129 / Cello Concerto In A Minor","master"
"Schumann*", "Bamberg Symphony*","1956", "Cello Concerto In A Minor Op. 129 / Cello Concerto In A Minor","master"
"Schumann*", "Jonel Perlea","1956", "Cello Concerto In A Minor Op. 129 / Cello Concerto In A Minor","master"
"Schubert*", "Gaspar Cassado*","1956", "Cello Concerto In A Minor Op. 129 / Cello Concerto In A Minor","master"
"Schubert*", "Bamberg Symphony*","1956", "Cello Concerto In A Minor Op. 129 / Cello Concerto In A Minor","master"
"Schubert*", "Jonel Perlea","1956", "Cello Concerto In A Minor Op. 129 / Cello Concerto In A Minor","master"
"Gaspar Cassado*", "Bamberg Symphony*","1956", "Cello Concerto In A Minor Op. 129 / Cello Concerto In A Minor","master"
"Gaspar Cassado*", "Jonel Perlea","1956", "Cello Concerto In A Minor Op. 129 / Cello Concerto In A Minor","master"
"Bamberg Symphony*", "Jonel Perlea","1956", "Cello Concerto In A Minor Op. 129 / Cello Concerto In A Minor","master"
"Schumann*", "Rudy Van Gelder","1956", "Cello Concerto In A Minor Op. 129 / Cello Concerto In A Minor","master"
"Schubert*", "Rudy Van Gelder","1956", "Cello Concerto In A Minor Op. 129 / Cello Concerto In A Minor","master"
"Gaspar Cassado*", "Rudy Van Gelder","1956", "Cello Concerto In A Minor Op. 129 / Cello Concerto In A Minor","master"
"Bamberg Symphony*", "Rudy Van Gelder","1956", "Cello Concerto In A Minor Op. 129 / Cello Concerto In A Minor","master"
"Jonel Perlea", "Rudy Van Gelder","1956", "Cello Concerto In A Minor Op. 129 / Cello Concerto In A Minor","master"
"Bach*", "Claire Coci","1956", "The Cadet Chapel Organ  West Point","master"
"Bach*", "Rudy Van Gelder","1956", "The Cadet Chapel Organ  West Point","master"
"Claire Coci", "Rudy Van Gelder","1956", "The Cadet Chapel Organ  West Point","master"
"Frank Wess", "Henry Coker","1956", "Trombones","master"
"Frank Wess", "Bill Hughes (2)","1956", "Trombones","master"
"Frank Wess", "Jimmy Cleveland","1956", "Trombones","master"
"Frank Wess", "Benny Powell","1956", "Trombones","master"
"Henry Coker", "Bill Hughes (2)","1956", "Trombones","master"
"Henry Coker", "Jimmy Cleveland","1956", "Trombones","master"
"Henry Coker", "Benny Powell","1956", "Trombones","master"
"Bill Hughes (2)", "Jimmy Cleveland","1956", "Trombones","master"
"Bill Hughes (2)", "Benny Powell","1956", "Trombones","master"
"Jimmy Cleveland", "Benny Powell","1956", "Trombones","master"
"Frank Wess", "Rudy Van Gelder","1956", "Trombones","master"
"Henry Coker", "Rudy Van Gelder","1956", "Trombones","master"
"Bill Hughes (2)", "Rudy Van Gelder","1956", "Trombones","master"
"Jimmy Cleveland", "Rudy Van Gelder","1956", "Trombones","master"
"Benny Powell", "Rudy Van Gelder","1956", "Trombones","master"
"Woods*", "Byrd*","1956", "The Young Bloods","master"
"Woods*", "Rudy Van Gelder","1956", "The Young Bloods","master"
"Byrd*", "Rudy Van Gelder","1956", "The Young Bloods","master"
"Bennie Green", "Art Farmer","1956", "Bennie Green (With Art Farmer)","master"
"Bennie Green", "Rudy Van Gelder","1956", "Bennie Green (With Art Farmer)","master"
"Art Farmer", "Rudy Van Gelder","1956", "Bennie Green (With Art Farmer)","master"
"Hal Stein", "Warren Fitzgerald (2)","1956", "Hal Stein & Warren Fitzgerald ","master"
"Hal Stein", "Rudy Van Gelder","1956", "Hal Stein & Warren Fitzgerald ","master"
"Warren Fitzgerald (2)", "Rudy Van Gelder","1956", "Hal Stein & Warren Fitzgerald ","master"
"The Red Garland Trio", "Paul Chambers (3) And Art Taylor","1956", "A Garland Of Red","master"
"The Red Garland Trio", "Rudy Van Gelder","1956", "A Garland Of Red","master"
"Paul Chambers (3) And Art Taylor", "Rudy Van Gelder","1956", "A Garland Of Red","master"
"Freddie Redd", "Hamp Hawes*","1956", "Piano: East/West","master"
"Freddie Redd", "Rudy Van Gelder","1956", "Piano: East/West","master"
"Hamp Hawes*", "Rudy Van Gelder","1956", "Piano: East/West","master"
"Modern Jazz Quartet*", "Milt Jackson Quintet","1956", "M J Q","master"
"Modern Jazz Quartet*", "Rudy Van Gelder","1956", "M J Q","master"
"Milt Jackson Quintet", "Rudy Van Gelder","1956", "M J Q","master"
"Art Blakey", "Clifford Brown","1956", "Quicksilver","master"
"Art Blakey", "Rudy Van Gelder","1956", "Quicksilver","master"
"Clifford Brown", "Rudy Van Gelder","1956", "Quicksilver","master"
"Emil Gilels", "Moscow Philharmonic Orchestra","1956", "Tchaikowsky Concerto No.1","master"
"Emil Gilels", "Rudy Van Gelder","1956", "Tchaikowsky Concerto No.1","master"
"Moscow Philharmonic Orchestra", "Rudy Van Gelder","1956", "Tchaikowsky Concerto No.1","master"
"Teddy Charles", "Shorty Rogers","1956", "Collaboration West","master"
"Teddy Charles", "Shelley Manne*","1956", "Collaboration West","master"
"Teddy Charles", "Jimmy Giuffre","1956", "Collaboration West","master"
"Shorty Rogers", "Shelley Manne*","1956", "Collaboration West","master"
"Shorty Rogers", "Jimmy Giuffre","1956", "Collaboration West","master"
"Shelley Manne*", "Jimmy Giuffre","1956", "Collaboration West","master"
"Teddy Charles", "Rudy Van Gelder","1956", "Collaboration West","master"
"Shorty Rogers", "Rudy Van Gelder","1956", "Collaboration West","master"
"Shelley Manne*", "Rudy Van Gelder","1956", "Collaboration West","master"
"Jimmy Giuffre", "Rudy Van Gelder","1956", "Collaboration West","master"
"Lee Morgan", "Hank Mobley's Quintet*","1956", "Introducing Lee Morgan","master"
"Lee Morgan", "Rudy Van Gelder","1956", "Introducing Lee Morgan","master"
"Hank Mobley's Quintet*", "Rudy Van Gelder","1956", "Introducing Lee Morgan","master"
"Miles Davis", "Sonny Rollins","1956", "Dig","master"
"Miles Davis", "Rudy Van Gelder","1956", "Dig","master"
"Sonny Rollins", "Rudy Van Gelder","1956", "Dig","master"
"Miles Davis", "Stan Getz","1956", "Conception","master"
"Miles Davis", "Gerry Mulligan","1956", "Conception","master"
"Miles Davis", "Lee Konitz","1956", "Conception","master"
"Miles Davis", "Sonny Rollins","1956", "Conception","master"
"Miles Davis", "Zoot Sims","1956", "Conception","master"
"Stan Getz", "Gerry Mulligan","1956", "Conception","master"
"Stan Getz", "Lee Konitz","1956", "Conception","master"
"Stan Getz", "Sonny Rollins","1956", "Conception","master"
"Stan Getz", "Zoot Sims","1956", "Conception","master"
"Gerry Mulligan", "Lee Konitz","1956", "Conception","master"
"Gerry Mulligan", "Sonny Rollins","1956", "Conception","master"
"Gerry Mulligan", "Zoot Sims","1956", "Conception","master"
"Lee Konitz", "Sonny Rollins","1956", "Conception","master"
"Lee Konitz", "Zoot Sims","1956", "Conception","master"
"Sonny Rollins", "Zoot Sims","1956", "Conception","master"
"Miles Davis", "Rudy Van Gelder","1956", "Conception","master"
"Stan Getz", "Rudy Van Gelder","1956", "Conception","master"
"Gerry Mulligan", "Rudy Van Gelder","1956", "Conception","master"
"Lee Konitz", "Rudy Van Gelder","1956", "Conception","master"
"Sonny Rollins", "Rudy Van Gelder","1956", "Conception","master"
"Zoot Sims", "Rudy Van Gelder","1956", "Conception","master"
"Sonny Rollins Quintet", "Kenny Dorham And Max Roach","1956", "Rollins Plays For Bird","master"
"Sonny Rollins Quintet", "Rudy Van Gelder","1956", "Rollins Plays For Bird","master"
"Kenny Dorham And Max Roach", "Rudy Van Gelder","1956", "Rollins Plays For Bird","master"
"Art Farmer Quintet", "Gigi Gryce","1956", "Art Farmer Quintet Featuring Gigi Gryce","master"
"Art Farmer Quintet", "Rudy Van Gelder","1956", "Art Farmer Quintet Featuring Gigi Gryce","master"
"Gigi Gryce", "Rudy Van Gelder","1956", "Art Farmer Quintet Featuring Gigi Gryce","master"
"Donald Byrd", "Hank Mobley","1956", "The Jazz Message Of","master"
"Donald Byrd", "Horace Silver","1956", "The Jazz Message Of","master"
"Donald Byrd", "Doug Watkins","1956", "The Jazz Message Of","master"
"Donald Byrd", "John La Porta*","1956", "The Jazz Message Of","master"
"Donald Byrd", "Ronnie Ball","1956", "The Jazz Message Of","master"
"Donald Byrd", "Wendell Marshall","1956", "The Jazz Message Of","master"
"Donald Byrd", "Kenny Clarke","1956", "The Jazz Message Of","master"
"Hank Mobley", "Horace Silver","1956", "The Jazz Message Of","master"
"Hank Mobley", "Doug Watkins","1956", "The Jazz Message Of","master"
"Hank Mobley", "John La Porta*","1956", "The Jazz Message Of","master"
"Hank Mobley", "Ronnie Ball","1956", "The Jazz Message Of","master"
"Hank Mobley", "Wendell Marshall","1956", "The Jazz Message Of","master"
"Hank Mobley", "Kenny Clarke","1956", "The Jazz Message Of","master"
"Horace Silver", "Doug Watkins","1956", "The Jazz Message Of","master"
"Horace Silver", "John La Porta*","1956", "The Jazz Message Of","master"
"Horace Silver", "Ronnie Ball","1956", "The Jazz Message Of","master"
"Horace Silver", "Wendell Marshall","1956", "The Jazz Message Of","master"
"Horace Silver", "Kenny Clarke","1956", "The Jazz Message Of","master"
"Doug Watkins", "John La Porta*","1956", "The Jazz Message Of","master"
"Doug Watkins", "Ronnie Ball","1956", "The Jazz Message Of","master"
"Doug Watkins", "Wendell Marshall","1956", "The Jazz Message Of","master"
"Doug Watkins", "Kenny Clarke","1956", "The Jazz Message Of","master"
"John La Porta*", "Ronnie Ball","1956", "The Jazz Message Of","master"
"John La Porta*", "Wendell Marshall","1956", "The Jazz Message Of","master"
"John La Porta*", "Kenny Clarke","1956", "The Jazz Message Of","master"
"Ronnie Ball", "Wendell Marshall","1956", "The Jazz Message Of","master"
"Ronnie Ball", "Kenny Clarke","1956", "The Jazz Message Of","master"
"Wendell Marshall", "Kenny Clarke","1956", "The Jazz Message Of","master"
"Donald Byrd", "Rudy Van Gelder","1956", "The Jazz Message Of","master"
"Hank Mobley", "Rudy Van Gelder","1956", "The Jazz Message Of","master"
"Horace Silver", "Rudy Van Gelder","1956", "The Jazz Message Of","master"
"Doug Watkins", "Rudy Van Gelder","1956", "The Jazz Message Of","master"
"John La Porta*", "Rudy Van Gelder","1956", "The Jazz Message Of","master"
"Ronnie Ball", "Rudy Van Gelder","1956", "The Jazz Message Of","master"
"Wendell Marshall", "Rudy Van Gelder","1956", "The Jazz Message Of","master"
"Kenny Clarke", "Rudy Van Gelder","1956", "The Jazz Message Of","master"
"Kai* And Jay*", "Bennie Green","1956", "Kai And Jay, Bennie Green With Strings","master"
"Kai* And Jay*", "Strings*","1956", "Kai And Jay, Bennie Green With Strings","master"
"Bennie Green", "Strings*","1956", "Kai And Jay, Bennie Green With Strings","master"
"Kai* And Jay*", "Rudy Van Gelder","1956", "Kai And Jay, Bennie Green With Strings","master"
"Bennie Green", "Rudy Van Gelder","1956", "Kai And Jay, Bennie Green With Strings","master"
"Strings*", "Rudy Van Gelder","1956", "Kai And Jay, Bennie Green With Strings","master"
"Charlie Mingus*", "Wally Cirillo","1956", "Jazz Composers Workshop","master"
"Charlie Mingus*", "Teo Macero","1956", "Jazz Composers Workshop","master"
"Charlie Mingus*", "John La Porta*","1956", "Jazz Composers Workshop","master"
"Wally Cirillo", "Teo Macero","1956", "Jazz Composers Workshop","master"
"Wally Cirillo", "John La Porta*","1956", "Jazz Composers Workshop","master"
"Teo Macero", "John La Porta*","1956", "Jazz Composers Workshop","master"
"Charlie Mingus*", "Rudy Van Gelder","1956", "Jazz Composers Workshop","master"
"Wally Cirillo", "Rudy Van Gelder","1956", "Jazz Composers Workshop","master"
"Teo Macero", "Rudy Van Gelder","1956", "Jazz Composers Workshop","master"
"John La Porta*", "Rudy Van Gelder","1956", "Jazz Composers Workshop","master"
"Gene Krupa", "Gene Krupa And His Orchestra","1956", "Drummer Man - Gene Krupa In Highest Fi","master"
"Gene Krupa", "Rudy Van Gelder","1956", "Drummer Man - Gene Krupa In Highest Fi","master"
"Gene Krupa And His Orchestra", "Rudy Van Gelder","1956", "Drummer Man - Gene Krupa In Highest Fi","master"
"Frank Wess", "Frank Foster","1956", "North, South, East.....Wess","master"
"Frank Wess", "Henry Coker","1956", "North, South, East.....Wess","master"
"Frank Wess", "Benny Powell","1956", "North, South, East.....Wess","master"
"Frank Wess", "Kenny Burrell","1956", "North, South, East.....Wess","master"
"Frank Wess", "Eddie Jones","1956", "North, South, East.....Wess","master"
"Frank Wess", "Kenny Clarke","1956", "North, South, East.....Wess","master"
"Frank Foster", "Henry Coker","1956", "North, South, East.....Wess","master"
"Frank Foster", "Benny Powell","1956", "North, South, East.....Wess","master"
"Frank Foster", "Kenny Burrell","1956", "North, South, East.....Wess","master"
"Frank Foster", "Eddie Jones","1956", "North, South, East.....Wess","master"
"Frank Foster", "Kenny Clarke","1956", "North, South, East.....Wess","master"
"Henry Coker", "Benny Powell","1956", "North, South, East.....Wess","master"
"Henry Coker", "Kenny Burrell","1956", "North, South, East.....Wess","master"
"Henry Coker", "Eddie Jones","1956", "North, South, East.....Wess","master"
"Henry Coker", "Kenny Clarke","1956", "North, South, East.....Wess","master"
"Benny Powell", "Kenny Burrell","1956", "North, South, East.....Wess","master"
"Benny Powell", "Eddie Jones","1956", "North, South, East.....Wess","master"
"Benny Powell", "Kenny Clarke","1956", "North, South, East.....Wess","master"
"Kenny Burrell", "Eddie Jones","1956", "North, South, East.....Wess","master"
"Kenny Burrell", "Kenny Clarke","1956", "North, South, East.....Wess","master"
"Eddie Jones", "Kenny Clarke","1956", "North, South, East.....Wess","master"
"Frank Wess", "Rudy Van Gelder","1956", "North, South, East.....Wess","master"
"Frank Foster", "Rudy Van Gelder","1956", "North, South, East.....Wess","master"
"Henry Coker", "Rudy Van Gelder","1956", "North, South, East.....Wess","master"
"Benny Powell", "Rudy Van Gelder","1956", "North, South, East.....Wess","master"
"Kenny Burrell", "Rudy Van Gelder","1956", "North, South, East.....Wess","master"
"Eddie Jones", "Rudy Van Gelder","1956", "North, South, East.....Wess","master"
"Kenny Clarke", "Rudy Van Gelder","1956", "North, South, East.....Wess","master"
"Farmer*", "Byrd*","1956", "2 Trumpets","master"
"Farmer*", "Rudy Van Gelder","1956", "2 Trumpets","master"
"Byrd*", "Rudy Van Gelder","1956", "2 Trumpets","master"
"The Trio (9)", "Hank Jones","1956", "The Trio","master"
"The Trio (9)", "Wendell Marshall And Kenny Clarke","1956", "The Trio","master"
"Hank Jones", "Wendell Marshall And Kenny Clarke","1956", "The Trio","master"
"The Trio (9)", "Rudy Van Gelder","1956", "The Trio","master"
"Hank Jones", "Rudy Van Gelder","1956", "The Trio","master"
"Wendell Marshall And Kenny Clarke", "Rudy Van Gelder","1956", "The Trio","master"
"Haydn*", "Helma Elsner","1956", "Harpsichord Concertos, C Major & F Major","master"
"Haydn*", "Reinhold Barchet","1956", "Harpsichord Concertos, C Major & F Major","master"
"Haydn*", "Pro Musica Chamber Orchestra","1956", "Harpsichord Concertos, C Major & F Major","master"
"Haydn*", "Stuttgart*","1956", "Harpsichord Concertos, C Major & F Major","master"
"Haydn*", "Rolf Reinhardt","1956", "Harpsichord Concertos, C Major & F Major","master"
"Helma Elsner", "Reinhold Barchet","1956", "Harpsichord Concertos, C Major & F Major","master"
"Helma Elsner", "Pro Musica Chamber Orchestra","1956", "Harpsichord Concertos, C Major & F Major","master"
"Helma Elsner", "Stuttgart*","1956", "Harpsichord Concertos, C Major & F Major","master"
"Helma Elsner", "Rolf Reinhardt","1956", "Harpsichord Concertos, C Major & F Major","master"
"Reinhold Barchet", "Pro Musica Chamber Orchestra","1956", "Harpsichord Concertos, C Major & F Major","master"
"Reinhold Barchet", "Stuttgart*","1956", "Harpsichord Concertos, C Major & F Major","master"
"Reinhold Barchet", "Rolf Reinhardt","1956", "Harpsichord Concertos, C Major & F Major","master"
"Pro Musica Chamber Orchestra", "Stuttgart*","1956", "Harpsichord Concertos, C Major & F Major","master"
"Pro Musica Chamber Orchestra", "Rolf Reinhardt","1956", "Harpsichord Concertos, C Major & F Major","master"
"Stuttgart*", "Rolf Reinhardt","1956", "Harpsichord Concertos, C Major & F Major","master"
"Haydn*", "Rudy Van Gelder","1956", "Harpsichord Concertos, C Major & F Major","master"
"Helma Elsner", "Rudy Van Gelder","1956", "Harpsichord Concertos, C Major & F Major","master"
"Reinhold Barchet", "Rudy Van Gelder","1956", "Harpsichord Concertos, C Major & F Major","master"
"Pro Musica Chamber Orchestra", "Rudy Van Gelder","1956", "Harpsichord Concertos, C Major & F Major","master"
"Stuttgart*", "Rudy Van Gelder","1956", "Harpsichord Concertos, C Major & F Major","master"
"Rolf Reinhardt", "Rudy Van Gelder","1956", "Harpsichord Concertos, C Major & F Major","master"
"The Gigi Gryce Orchestra", "The Gigi Gryce Quartet","1956", "Gigi Gryce · Thelonious Monk · Percy Heath · Art Blakey · Horace Silver · Art Farmer · Kenny Clarke · Cecil Payne · Jimmy Cleveland · Oscar Pettiford · Julius Watkins","master"
"The Gigi Gryce Orchestra", "Rudy Van Gelder","1956", "Gigi Gryce · Thelonious Monk · Percy Heath · Art Blakey · Horace Silver · Art Farmer · Kenny Clarke · Cecil Payne · Jimmy Cleveland · Oscar Pettiford · Julius Watkins","master"
"The Gigi Gryce Quartet", "Rudy Van Gelder","1956", "Gigi Gryce · Thelonious Monk · Percy Heath · Art Blakey · Horace Silver · Art Farmer · Kenny Clarke · Cecil Payne · Jimmy Cleveland · Oscar Pettiford · Julius Watkins","master"
"Schumann*", "Trio Di Bolzano","1956", "Trio No. 1, D Minor, Opus 63 / Trio No. 3, G Minor, Opus 110","master"
"Schumann*", "Rudy Van Gelder","1956", "Trio No. 1, D Minor, Opus 63 / Trio No. 3, G Minor, Opus 110","master"
"Trio Di Bolzano", "Rudy Van Gelder","1956", "Trio No. 1, D Minor, Opus 63 / Trio No. 3, G Minor, Opus 110","master"
"Frank Wess", "Kenny Burrell","1956", "Opus In Swing","master"
"Frank Wess", "Freddie Green","1956", "Opus In Swing","master"
"Frank Wess", "Eddie Jones","1956", "Opus In Swing","master"
"Frank Wess", "Kenny Clarke","1956", "Opus In Swing","master"
"Kenny Burrell", "Freddie Green","1956", "Opus In Swing","master"
"Kenny Burrell", "Eddie Jones","1956", "Opus In Swing","master"
"Kenny Burrell", "Kenny Clarke","1956", "Opus In Swing","master"
"Freddie Green", "Eddie Jones","1956", "Opus In Swing","master"
"Freddie Green", "Kenny Clarke","1956", "Opus In Swing","master"
"Eddie Jones", "Kenny Clarke","1956", "Opus In Swing","master"
"Frank Wess", "Rudy Van Gelder","1956", "Opus In Swing","master"
"Kenny Burrell", "Rudy Van Gelder","1956", "Opus In Swing","master"
"Freddie Green", "Rudy Van Gelder","1956", "Opus In Swing","master"
"Eddie Jones", "Rudy Van Gelder","1956", "Opus In Swing","master"
"Kenny Clarke", "Rudy Van Gelder","1956", "Opus In Swing","master"
"Milt Buckner", "Bobby Banks*","1956", "Organ...Sweet N' Swing","master"
"Milt Buckner", "Vin Strong","1956", "Organ...Sweet N' Swing","master"
"Bobby Banks*", "Vin Strong","1956", "Organ...Sweet N' Swing","master"
"Milt Buckner", "Rudy Van Gelder","1956", "Organ...Sweet N' Swing","master"
"Bobby Banks*", "Rudy Van Gelder","1956", "Organ...Sweet N' Swing","master"
"Vin Strong", "Rudy Van Gelder","1956", "Organ...Sweet N' Swing","master"
"Beethoven*", "Jascha Horenstein","1956", "Symphony No. 9 In D Minor, Op. 125 "Choral"","master"
"Beethoven*", "Pro Musica Symphony","1956", "Symphony No. 9 In D Minor, Op. 125 "Choral"","master"
"Beethoven*", "Vienna*","1956", "Symphony No. 9 In D Minor, Op. 125 "Choral"","master"
"Jascha Horenstein", "Pro Musica Symphony","1956", "Symphony No. 9 In D Minor, Op. 125 "Choral"","master"
"Jascha Horenstein", "Vienna*","1956", "Symphony No. 9 In D Minor, Op. 125 "Choral"","master"
"Pro Musica Symphony", "Vienna*","1956", "Symphony No. 9 In D Minor, Op. 125 "Choral"","master"
"Beethoven*", "Rudy Van Gelder","1956", "Symphony No. 9 In D Minor, Op. 125 "Choral"","master"
"Jascha Horenstein", "Rudy Van Gelder","1956", "Symphony No. 9 In D Minor, Op. 125 "Choral"","master"
"Pro Musica Symphony", "Rudy Van Gelder","1956", "Symphony No. 9 In D Minor, Op. 125 "Choral"","master"
"Vienna*", "Rudy Van Gelder","1956", "Symphony No. 9 In D Minor, Op. 125 "Choral"","master"
"Debussy*", "Guiomar Novaes","1956", "Preludes, Book I","master"
"Debussy*", "Rudy Van Gelder","1956", "Preludes, Book I","master"
"Guiomar Novaes", "Rudy Van Gelder","1956", "Preludes, Book I","master"
"Joseph Haydn", "Helma Elsner","1956", "Concerto For Harpsichord D Major Concerto For Harpsichord G Major","master"
"Joseph Haydn", "Pro Musica Chamber Orchestra Stuttgart*","1956", "Concerto For Harpsichord D Major Concerto For Harpsichord G Major","master"
"Joseph Haydn", "Rolf Reinhardt","1956", "Concerto For Harpsichord D Major Concerto For Harpsichord G Major","master"
"Helma Elsner", "Pro Musica Chamber Orchestra Stuttgart*","1956", "Concerto For Harpsichord D Major Concerto For Harpsichord G Major","master"
"Helma Elsner", "Rolf Reinhardt","1956", "Concerto For Harpsichord D Major Concerto For Harpsichord G Major","master"
"Pro Musica Chamber Orchestra Stuttgart*", "Rolf Reinhardt","1956", "Concerto For Harpsichord D Major Concerto For Harpsichord G Major","master"
"Joseph Haydn", "Rudy Van Gelder","1956", "Concerto For Harpsichord D Major Concerto For Harpsichord G Major","master"
"Helma Elsner", "Rudy Van Gelder","1956", "Concerto For Harpsichord D Major Concerto For Harpsichord G Major","master"
"Pro Musica Chamber Orchestra Stuttgart*", "Rudy Van Gelder","1956", "Concerto For Harpsichord D Major Concerto For Harpsichord G Major","master"
"Rolf Reinhardt", "Rudy Van Gelder","1956", "Concerto For Harpsichord D Major Concerto For Harpsichord G Major","master"
"Rouse-Watkins Jazz Modes*", "Gene Quill-Dick Sherman Quintet","1956", "Jazzville Vol. 1","master"
"Rouse-Watkins Jazz Modes*", "Rudy Van Gelder","1956", "Jazzville Vol. 1","master"
"Gene Quill-Dick Sherman Quintet", "Rudy Van Gelder","1956", "Jazzville Vol. 1","master"
"Sonny Rollins", "The Modern Jazz Quartet","1956", "Sonny Rollins With The Modern Jazz Quartet","master"
"Sonny Rollins", "Art Blakey And Kenny Drew","1956", "Sonny Rollins With The Modern Jazz Quartet","master"
"The Modern Jazz Quartet", "Art Blakey And Kenny Drew","1956", "Sonny Rollins With The Modern Jazz Quartet","master"
"Sonny Rollins", "Rudy Van Gelder","1956", "Sonny Rollins With The Modern Jazz Quartet","master"
"The Modern Jazz Quartet", "Rudy Van Gelder","1956", "Sonny Rollins With The Modern Jazz Quartet","master"
"Art Blakey And Kenny Drew", "Rudy Van Gelder","1956", "Sonny Rollins With The Modern Jazz Quartet","master"
"J.J. Johnson", "Howard McGhee","1956", "Jazz South Pacific","master"
"J.J. Johnson", "Oscar Pettiford","1956", "Jazz South Pacific","master"
"J.J. Johnson", "Ketter Betts*","1956", "Jazz South Pacific","master"
"J.J. Johnson", "Rudy Williams","1956", "Jazz South Pacific","master"
"J.J. Johnson", "Charlie Rice","1956", "Jazz South Pacific","master"
"Howard McGhee", "Oscar Pettiford","1956", "Jazz South Pacific","master"
"Howard McGhee", "Ketter Betts*","1956", "Jazz South Pacific","master"
"Howard McGhee", "Rudy Williams","1956", "Jazz South Pacific","master"
"Howard McGhee", "Charlie Rice","1956", "Jazz South Pacific","master"
"Oscar Pettiford", "Ketter Betts*","1956", "Jazz South Pacific","master"
"Oscar Pettiford", "Rudy Williams","1956", "Jazz South Pacific","master"
"Oscar Pettiford", "Charlie Rice","1956", "Jazz South Pacific","master"
"Ketter Betts*", "Rudy Williams","1956", "Jazz South Pacific","master"
"Ketter Betts*", "Charlie Rice","1956", "Jazz South Pacific","master"
"Rudy Williams", "Charlie Rice","1956", "Jazz South Pacific","master"
"J.J. Johnson", "Rudy Van Gelder","1956", "Jazz South Pacific","master"
"Howard McGhee", "Rudy Van Gelder","1956", "Jazz South Pacific","master"
"Oscar Pettiford", "Rudy Van Gelder","1956", "Jazz South Pacific","master"
"Ketter Betts*", "Rudy Van Gelder","1956", "Jazz South Pacific","master"
"Rudy Williams", "Rudy Van Gelder","1956", "Jazz South Pacific","master"
"Charlie Rice", "Rudy Van Gelder","1956", "Jazz South Pacific","master"
"The Jackie McLean Quintet*", "Donald Byrd And Elmo Hope","1956", "Lights Out!","master"
"The Jackie McLean Quintet*", "Rudy Van Gelder","1956", "Lights Out!","master"
"Donald Byrd And Elmo Hope", "Rudy Van Gelder","1956", "Lights Out!","master"
"J.J. Johnson", "Kai Winding","1956", "Trombone By Three","master"
"J.J. Johnson", "Benny Green*","1956", "Trombone By Three","master"
"Kai Winding", "Benny Green*","1956", "Trombone By Three","master"
"J.J. Johnson", "Rudy Van Gelder","1956", "Trombone By Three","master"
"Kai Winding", "Rudy Van Gelder","1956", "Trombone By Three","master"
"Benny Green*", "Rudy Van Gelder","1956", "Trombone By Three","master"
