"source","target","year","title","type"
"Gerry Mulligan", "Chet Baker","1975", "Carnegie Hall Concert Volume 2","master"
"Gerry Mulligan", "Rudy Van Gelder","1975", "Carnegie Hall Concert Volume 2","master"
"Chet Baker", "Rudy Van Gelder","1975", "Carnegie Hall Concert Volume 2","master"
"George Benson", "Joe Farrell","1976", "Benson & Farrell","master"
"George Benson", "Rudy Van Gelder","1976", "Benson & Farrell","master"
"Joe Farrell", "Rudy Van Gelder","1976", "Benson & Farrell","master"
"David Matthews*", "Whirlwind","1976", "Shoogie Wanna Boogie","master"
"David Matthews*", "Rudy Van Gelder","1976", "Shoogie Wanna Boogie","master"
"Whirlwind", "Rudy Van Gelder","1976", "Shoogie Wanna Boogie","master"
"Grant Green", "Hubert Laws","1976", "The Main Attraction","master"
"Grant Green", "Rudy Van Gelder","1976", "The Main Attraction","master"
"Hubert Laws", "Rudy Van Gelder","1976", "The Main Attraction","master"
"Pee Wee Russell", "George Wein","1978", "Salute To Newport: Featuring Pee Wee Russell","master"
"Pee Wee Russell", "The Newport All-Stars","1978", "Salute To Newport: Featuring Pee Wee Russell","master"
"George Wein", "The Newport All-Stars","1978", "Salute To Newport: Featuring Pee Wee Russell","master"
"Pee Wee Russell", "Rudy Van Gelder","1978", "Salute To Newport: Featuring Pee Wee Russell","master"
"George Wein", "Rudy Van Gelder","1978", "Salute To Newport: Featuring Pee Wee Russell","master"
"The Newport All-Stars", "Rudy Van Gelder","1978", "Salute To Newport: Featuring Pee Wee Russell","master"
"Joe Chambers", "Friends*","1981", "New York Concerto","master"
"Joe Chambers", "Yoshiaki Masuo","1981", "New York Concerto","master"
"Friends*", "Yoshiaki Masuo","1981", "New York Concerto","master"
"Joe Chambers", "Rudy Van Gelder","1981", "New York Concerto","master"
"Friends*", "Rudy Van Gelder","1981", "New York Concerto","master"
"Yoshiaki Masuo", "Rudy Van Gelder","1981", "New York Concerto","master"
"Harumi Kaneko", "Ron Carter","1988", "I'm Walkin'","master"
"Harumi Kaneko", "Rudy Van Gelder","1988", "I'm Walkin'","master"
"Ron Carter", "Rudy Van Gelder","1988", "I'm Walkin'","master"
"Abdullah Ibrahim", "Dollar Brand","1988", "Mindif","master"
"Abdullah Ibrahim", "Rudy Van Gelder","1988", "Mindif","master"
